prefix,count,white_win_rate,black_win_rate,draw_rate,main_opening
"('b1c3', 'd7d5', 'e2e4', 'd5e4', 'c3e4', 'g8f6')",1,0.0,0.0,1.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5e4', 'c3e4', 'g8f6', 'e4f6')",1,0.0,0.0,1.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5e4', 'c3e4', 'g8f6', 'e4f6', 'e7f6')",1,0.0,0.0,1.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5e4', 'c3e4', 'g8f6', 'e4f6', 'e7f6', 'd2d4')",1,0.0,0.0,1.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'd5e4', 'c3e4', 'g8f6', 'e4f6', 'e7f6', 'd2d4', 'f8d6')",1,0.0,0.0,1.0,Van Geet Opening
"('b1c3', 'd7d5', 'e2e4', 'g8f6')",1,1.0,0.0,0.0,Alekhine Defense: Scandinavian Variation
"('b1c3', 'd7d5', 'e2e4', 'g8f6', 'e4d5')",1,1.0,0.0,0.0,Alekhine Defense: Scandinavian Variation
"('b1c3', 'd7d5', 'e2e4', 'g8f6', 'e4d5', 'f6d5')",1,1.0,0.0,0.0,Alekhine Defense: Scandinavian Variation
"('b1c3', 'd7d5', 'e2e4', 'g8f6', 'e4d5', 'f6d5', 'f1c4')",1,1.0,0.0,0.0,Alekhine Defense: Scandinavian Variation
"('b1c3', 'd7d5', 'e2e4', 'g8f6', 'e4d5', 'f6d5', 'f1c4', 'd5b6')",1,1.0,0.0,0.0,Alekhine Defense: Scandinavian Variation
"('b1c3', 'd7d5', 'e2e4', 'g8f6', 'e4d5', 'f6d5', 'f1c4', 'd5b6', 'c4b3')",1,1.0,0.0,0.0,Alekhine Defense: Scandinavian Variation
"('b1c3', 'd7d5', 'e2e4', 'g8f6', 'e4d5', 'f6d5', 'f1c4', 'd5b6', 'c4b3', 'g7g6')",1,1.0,0.0,0.0,Alekhine Defense: Scandinavian Variation
"('b1c3', 'd7d5', 'f2f4')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'f2f4', 'd5d4')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'f2f4', 'd5d4', 'c3e4')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'f2f4', 'd5d4', 'c3e4', 'b8c6')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'f2f4', 'd5d4', 'c3e4', 'b8c6', 'd2d3')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'f2f4', 'd5d4', 'c3e4', 'b8c6', 'd2d3', 'e7e5')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'f2f4', 'd5d4', 'c3e4', 'b8c6', 'd2d3', 'e7e5', 'g1f3')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'd7d5', 'f2f4', 'd5d4', 'c3e4', 'b8c6', 'd2d3', 'e7e5', 'g1f3', 'f7f5')",1,0.0,1.0,0.0,Van Geet Opening
"('b1c3', 'e7e5')",1,0.0,1.0,0.0,"Bird Opening: From's Gambit, Bahr Gambit"
"('b1c3', 'e7e5', 'f2f4')",1,0.0,1.0,0.0,"Bird Opening: From's Gambit, Bahr Gambit"
"('b1c3', 'e7e5', 'f2f4', 'e5f4')",1,0.0,1.0,0.0,"Bird Opening: From's Gambit, Bahr Gambit"
"('b1c3', 'e7e5', 'f2f4', 'e5f4', 'g1f3')",1,0.0,1.0,0.0,"Bird Opening: From's Gambit, Bahr Gambit"
"('b1c3', 'e7e5', 'f2f4', 'e5f4', 'g1f3', 'g8f6')",1,0.0,1.0,0.0,"Bird Opening: From's Gambit, Bahr Gambit"
"('b1c3', 'e7e5', 'f2f4', 'e5f4', 'g1f3', 'g8f6', 'd2d4')",1,0.0,1.0,0.0,"Bird Opening: From's Gambit, Bahr Gambit"
"('b1c3', 'e7e5', 'f2f4', 'e5f4', 'g1f3', 'g8f6', 'd2d4', 'd7d5')",1,0.0,1.0,0.0,"Bird Opening: From's Gambit, Bahr Gambit"
"('b1c3', 'e7e5', 'f2f4', 'e5f4', 'g1f3', 'g8f6', 'd2d4', 'd7d5', 'c1f4')",1,0.0,1.0,0.0,"Bird Opening: From's Gambit, Bahr Gambit"
"('b1c3', 'e7e5', 'f2f4', 'e5f4', 'g1f3', 'g8f6', 'd2d4', 'd7d5', 'c1f4', 'f8d6')",1,0.0,1.0,0.0,"Bird Opening: From's Gambit, Bahr Gambit"
"('b1c3', 'e7e6')",1,0.0,1.0,0.0,"French Defense: Winawer Variation, Advance Variation"
"('b1c3', 'e7e6', 'e2e4')",1,0.0,1.0,0.0,"French Defense: Winawer Variation, Advance Variation"
"('b1c3', 'e7e6', 'e2e4', 'd7d5')",1,0.0,1.0,0.0,"French Defense: Winawer Variation, Advance Variation"
"('b1c3', 'e7e6', 'e2e4', 'd7d5', 'd2d4')",1,0.0,1.0,0.0,"French Defense: Winawer Variation, Advance Variation"
"('b1c3', 'e7e6', 'e2e4', 'd7d5', 'd2d4', 'f8b4')",1,0.0,1.0,0.0,"French Defense: Winawer Variation, Advance Variation"
"('b1c3', 'e7e6', 'e2e4', 'd7d5', 'd2d4', 'f8b4', 'e4e5')",1,0.0,1.0,0.0,"French Defense: Winawer Variation, Advance Variation"
"('b1c3', 'e7e6', 'e2e4', 'd7d5', 'd2d4', 'f8b4', 'e4e5', 'g8e7')",1,0.0,1.0,0.0,"French Defense: Winawer Variation, Advance Variation"
"('b1c3', 'e7e6', 'e2e4', 'd7d5', 'd2d4', 'f8b4', 'e4e5', 'g8e7', 'g1e2')",1,0.0,1.0,0.0,"French Defense: Winawer Variation, Advance Variation"
"('b1c3', 'e7e6', 'e2e4', 'd7d5', 'd2d4', 'f8b4', 'e4e5', 'g8e7', 'g1e2', 'c7c5')",1,0.0,1.0,0.0,"French Defense: Winawer Variation, Advance Variation"
"('b1c3', 'g8f6')",4,0.5,0.25,0.25,Four Knights Game: Spanish Variation
"('b1c3', 'g8f6', 'd2d4')",1,0.0,1.0,0.0,"Queen's Pawn Game: Veresov Attack, Two Knights System, Gruenfeld Defense"
"('b1c3', 'g8f6', 'd2d4', 'd7d5')",1,0.0,1.0,0.0,"Queen's Pawn Game: Veresov Attack, Two Knights System, Gruenfeld Defense"
"('b1c3', 'g8f6', 'd2d4', 'd7d5', 'c1g5')",1,0.0,1.0,0.0,"Queen's Pawn Game: Veresov Attack, Two Knights System, Gruenfeld Defense"
"('b1c3', 'g8f6', 'd2d4', 'd7d5', 'c1g5', 'b8d7')",1,0.0,1.0,0.0,"Queen's Pawn Game: Veresov Attack, Two Knights System, Gruenfeld Defense"
"('b1c3', 'g8f6', 'd2d4', 'd7d5', 'c1g5', 'b8d7', 'g1f3')",1,0.0,1.0,0.0,"Queen's Pawn Game: Veresov Attack, Two Knights System, Gruenfeld Defense"
"('b1c3', 'g8f6', 'd2d4', 'd7d5', 'c1g5', 'b8d7', 'g1f3', 'g7g6')",1,0.0,1.0,0.0,"Queen's Pawn Game: Veresov Attack, Two Knights System, Gruenfeld Defense"
"('b1c3', 'g8f6', 'd2d4', 'd7d5', 'c1g5', 'b8d7', 'g1f3', 'g7g6', 'd1d2')",1,0.0,1.0,0.0,"Queen's Pawn Game: Veresov Attack, Two Knights System, Gruenfeld Defense"
"('b1c3', 'g8f6', 'd2d4', 'd7d5', 'c1g5', 'b8d7', 'g1f3', 'g7g6', 'd1d2', 'f8g7')",1,0.0,1.0,0.0,"Queen's Pawn Game: Veresov Attack, Two Knights System, Gruenfeld Defense"
"('b1c3', 'g8f6', 'e2e4')",3,0.667,0.0,0.333,Four Knights Game: Spanish Variation
"('b1c3', 'g8f6', 'e2e4', 'b8c6')",1,1.0,0.0,0.0,Van Geet Opening
"('b1c3', 'g8f6', 'e2e4', 'b8c6', 'f2f4')",1,1.0,0.0,0.0,Van Geet Opening
"('b1c3', 'g8f6', 'e2e4', 'b8c6', 'f2f4', 'd7d5')",1,1.0,0.0,0.0,Van Geet Opening
"('b1c3', 'g8f6', 'e2e4', 'b8c6', 'f2f4', 'd7d5', 'e4e5')",1,1.0,0.0,0.0,Van Geet Opening
"('b1c3', 'g8f6', 'e2e4', 'b8c6', 'f2f4', 'd7d5', 'e4e5', 'f6e4')",1,1.0,0.0,0.0,Van Geet Opening
"('b1c3', 'g8f6', 'e2e4', 'b8c6', 'f2f4', 'd7d5', 'e4e5', 'f6e4', 'g1f3')",1,1.0,0.0,0.0,Van Geet Opening
"('b1c3', 'g8f6', 'e2e4', 'b8c6', 'f2f4', 'd7d5', 'e4e5', 'f6e4', 'g1f3', 'c8g4')",1,1.0,0.0,0.0,Van Geet Opening
"('b1c3', 'g8f6', 'e2e4', 'e7e5')",2,0.5,0.0,0.5,Four Knights Game: Spanish Variation
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'f2f4')",1,0.0,0.0,1.0,"Vienna Game: Vienna Gambit, Main Line"
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'f2f4', 'd7d5')",1,0.0,0.0,1.0,"Vienna Game: Vienna Gambit, Main Line"
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'f2f4', 'd7d5', 'f4e5')",1,0.0,0.0,1.0,"Vienna Game: Vienna Gambit, Main Line"
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'f2f4', 'd7d5', 'f4e5', 'f6e4')",1,0.0,0.0,1.0,"Vienna Game: Vienna Gambit, Main Line"
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'f2f4', 'd7d5', 'f4e5', 'f6e4', 'g1f3')",1,0.0,0.0,1.0,"Vienna Game: Vienna Gambit, Main Line"
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'f2f4', 'd7d5', 'f4e5', 'f6e4', 'g1f3', 'f8b4')",1,0.0,0.0,1.0,"Vienna Game: Vienna Gambit, Main Line"
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'g1f3')",1,1.0,0.0,0.0,Four Knights Game: Spanish Variation
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'g1f3', 'b8c6')",1,1.0,0.0,0.0,Four Knights Game: Spanish Variation
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5')",1,1.0,0.0,0.0,Four Knights Game: Spanish Variation
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'd7d6')",1,1.0,0.0,0.0,Four Knights Game: Spanish Variation
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'd7d6', 'd2d4')",1,1.0,0.0,0.0,Four Knights Game: Spanish Variation
"('b1c3', 'g8f6', 'e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'd7d6', 'd2d4', 'e5d4')",1,1.0,0.0,0.0,Four Knights Game: Spanish Variation
"('b2b3',)",29,0.655,0.345,0.0,Nimzo-Larsen Attack: Classical Variation
"('b2b3', 'b7b6')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: Symmetrical Variation
"('b2b3', 'b7b6', 'c1b2')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: Symmetrical Variation
"('b2b3', 'b7b6', 'c1b2', 'c8b7')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: Symmetrical Variation
"('b2b3', 'b7b6', 'c1b2', 'c8b7', 'e2e3')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: Symmetrical Variation
"('b2b3', 'b7b6', 'c1b2', 'c8b7', 'e2e3', 'c7c5')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: Symmetrical Variation
"('b2b3', 'b7b6', 'c1b2', 'c8b7', 'e2e3', 'c7c5', 'f2f4')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: Symmetrical Variation
"('b2b3', 'b7b6', 'c1b2', 'c8b7', 'e2e3', 'c7c5', 'f2f4', 'g8f6')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: Symmetrical Variation
"('b2b3', 'b7b6', 'c1b2', 'c8b7', 'e2e3', 'c7c5', 'f2f4', 'g8f6', 'g1f3')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: Symmetrical Variation
"('b2b3', 'b7b6', 'c1b2', 'c8b7', 'e2e3', 'c7c5', 'f2f4', 'g8f6', 'g1f3', 'e7e6')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: Symmetrical Variation
"('b2b3', 'c7c5')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: English Variation
"('b2b3', 'c7c5', 'c1b2')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: English Variation
"('b2b3', 'c7c5', 'c1b2', 'b8c6')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: English Variation
"('b2b3', 'c7c5', 'c1b2', 'b8c6', 'e2e4')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: English Variation
"('b2b3', 'c7c5', 'c1b2', 'b8c6', 'e2e4', 'g8f6')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: English Variation
"('b2b3', 'c7c5', 'c1b2', 'b8c6', 'e2e4', 'g8f6', 'e4e5')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: English Variation
"('b2b3', 'c7c5', 'c1b2', 'b8c6', 'e2e4', 'g8f6', 'e4e5', 'f6d5')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: English Variation
"('b2b3', 'c7c5', 'c1b2', 'b8c6', 'e2e4', 'g8f6', 'e4e5', 'f6d5', 'b1c3')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: English Variation
"('b2b3', 'c7c5', 'c1b2', 'b8c6', 'e2e4', 'g8f6', 'e4e5', 'f6d5', 'b1c3', 'd5c3')",1,1.0,0.0,0.0,Nimzo-Larsen Attack: English Variation
"('b2b3', 'c7c6')",1,1.0,0.0,0.0,Nimzo-Larsen Attack
"('b2b3', 'c7c6', 'c1b2')",1,1.0,0.0,0.0,Nimzo-Larsen Attack
"('b2b3', 'c7c6', 'c1b2', 'd7d5')",1,1.0,0.0,0.0,Nimzo-Larsen Attack
"('b2b3', 'c7c6', 'c1b2', 'd7d5', 'e2e3')",1,1.0,0.0,0.0,Nimzo-Larsen Attack
"('b2b3', 'c7c6', 'c1b2', 'd7d5', 'e2e3', 'g8f6')",1,1.0,0.0,0.0,Nimzo-Larsen Attack
"('b2b3', 'c7c6', 'c1b2', 'd7d5', 'e2e3', 'g8f6', 'g1f3')",1,1.0,0.0,0.0,Nimzo-Larsen Attack
"('b2b3', 'c7c6', 'c1b2', 'd7d5', 'e2e3', 'g8f6', 'g1f3', 'c8g4')",1,1.0,0.0,0.0,Nimzo-Larsen Attack
